sampno,sequence,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner,age_nrel_agebin
5170,1,,2,2,-1,4,1,7,2,1,1,-1,15,120,7,3,4,-1,-1,0,5
5170,2,,1,2,-1,4,1,7,2,1,1,-1,15,90,7,3,4,-1,-1,0,6
5170,3,,1,2,-1,6,4,7,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5170,4,,2,2,-1,4,1,7,2,1,1,-1,10,50,7,3,4,-1,-1,0,2
5172,1,,1,6,-1,6,1,0,1,1,2,-1,12,120,5,1,4,-1,-1,0,7
5172,2,,2,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5173,1,,1,2,-1,8,1,2,1,1,2,-1,20,170,4,2,4,-1,-1,0,4
5173,2,,2,2,-1,6,1,0,1,1,2,-1,20,170,4,2,4,-1,-1,0,4
5174,1,,1,6,-1,6,3,0,1,1,1,-1,5,25,5,2,4,-1,-1,0,3
5174,2,,2,6,-1,6,1,0,1,1,1,-1,5,25,5,2,4,-1,-1,0,3
5175,1,,1,6,-1,6,1,0,1,1,1,-1,5,80,2,1,4,-1,-1,0,3
5175,2,,2,6,-1,7,1,0,1,1,1,-1,2,50,2,1,4,-1,-1,0,3
5176,1,,1,6,-1,4,1,10,1,1,1,-1,15,150,4,1,4,-1,-1,0,4
5176,2,,2,2,-1,8,3,6,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5177,1,,2,6,-1,5,1,0,1,1,1,-1,17,170,5,2,4,-1,-1,0,5
5177,2,,1,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5178,1,,2,6,-1,8,1,0,1,1,1,-1,3,30,5,2,4,-1,-1,0,3
5181,1,,2,2,-1,6,2,10,1,1,3,-1,8,0,5,3,2,5,1,0,3
5182,1,,2,4,-1,4,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0,3
5182,2,,2,4,-1,4,1,0,1,1,1,-1,27,240,5,2,4,-1,-1,0,3
5183,1,,2,6,-1,1,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5184,1,,2,6,-1,2,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5184,2,,2,6,-1,4,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5185,1,,1,4,-1,4,1,0,1,1,1,-1,52,260,5,2,4,-1,-1,0,3
5185,2,,1,4,-1,1,1,0,1,1,1,-1,10,50,5,2,4,-1,-1,0,6
5186,1,,2,6,-1,3,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,3
5186,2,,1,6,-1,2,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5187,1,,2,2,-1,6,2,2,1,1,1,-1,15,15,2,1,2,1,15,0,5
5187,2,,1,3,-1,6,3,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5187,3,,2,7,mix,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5189,1,,1,6,-1,2,1,0,1,1,1,-1,11,33,3,2,4,-1,-1,0,3
5189,2,,2,6,-1,4,1,0,3,1,1,-1,7,43,7,2,4,-1,-1,0,3
5191,1,,1,2,-1,6,2,10,1,1,3,-1,3,0,5,1,4,-1,-1,0,2
