sampno,sequence,choice,alt1_fuel,alt1_veh,alt1_year,a1_incentive,a1_fuelavail,a1_fuelavail_loc,alt1_range,alt1_veh_model,alt1_annmain,alt1_cpmile,alt1_mpge,alt1_accel,alt1_refueltime,alt1_trunk,alt1_price,alt2_fuel,alt2_veh,alt2_year,a2_incentive,a2_fuelavail,a2_fuelavail_loc,alt2_range,alt2_veh_model,alt2_annmain,alt2_cpmile,alt2_mpge,alt2_accel,alt2_refueltime,alt2_trunk,alt2_price,alt3_fuel,alt3_veh,alt3_year,a3_incentive,a3_fuelavail,a3_fuelavail_loc,alt3_range,alt3_veh_model,alt3_annmain,alt3_cpmile,alt3_mpge,alt3_accel,alt3_refueltime,alt3_trunk,alt3_price,alt4_fuel,alt4_veh,alt4_year,a4_incentive,a4_fuelavail,a4_fuelavail_loc,alt4_range,alt4_veh_model,alt4_annmain,alt4_cpmile,alt4_mpge,alt4_accel,alt4_refueltime,alt4_trunk,alt4_price
128,6,1,2,2,2014,0,5,1,543,8,364.5,3.97,44.0,7.4,1,11.0,19300,9,2,2016,7,15,1,300,1,424.0,6.5,129.0,6.1,10,10.0,44600,7,7,2016,8,5,1,200,1,360.0,11.04,26.0,9.8,14,17.0,35300,4,10,2014,0,5,1,294,4,423.0,22.82,14.0,5.9,4,13.0,19900
128,7,2,2,2,2014,0,10,1,491,7,364.5,12.13,36.0,7.4,4,11.0,16700,3,10,2016,8,5,1,532,1,517.0,21.32,28.0,9.5,6,13.0,26400,1,4,2014,0,7,1,479,47,512.0,15.59,28.0,9.0,3,19.0,26700,5,2,2016,0,3,1,429,10,468.0,18.92,30.0,10.5,1,17.0,30500
128,8,1,2,2,2014,0,5,1,351,4,303.75,9.7,30.0,11.4,1,15.0,19300,1,13,2014,0,5,1,604,6,420.0,12.65,23.0,12.7,3,134.0,16700,4,6,2011,0,3,1,213,6,531.0,30.43,14.0,10.5,4,15.0,15700,2,2,2016,0,3,1,614,12,365.0,6.47,45.0,11.4,1,15.0,21200
128,1,3,2,2,2014,0,7,1,683,5,364.5,3.49,50.0,11.4,3,15.0,19300,1,2,2011,0,3,1,386,135,468.0,5.29,33.0,6.5,4,13.0,11000,5,7,2016,0,3,1,525,4,432.0,9.07,25.0,5.8,2,21.0,37900,2,1,2016,0,7,1,358,4,365.0,5.63,31.0,12.5,3,9.0,25200
128,2,4,2,2,2014,0,7,1,515,7,445.5,16.17,36.0,7.4,3,14.0,19300,2,3,2016,0,3,1,594,29,446.0,13.23,44.0,10.3,3,12.0,25500,9,2,2014,0,10,1,300,1,347.0,9.02,124.0,10.1,12,12.0,20200,1,11,2014,0,3,1,385,29,486.0,41.57,14.0,5.4,4,14.0,18600
128,3,4,2,2,2014,0,3,1,410,5,506.25,19.4,30.0,11.4,3,12.0,14400,7,5,2016,7,10,1,300,4,533.0,33.76,17.0,7.5,15,8.0,58100,3,2,2012,0,0,2,550,1,531.0,5.08,47.0,10.1,6,13.0,14100,2,6,2016,0,3,1,486,2,300.0,18.19,32.0,7.4,1,12.0,34100
128,4,3,2,2,2014,0,3,1,421,8,303.75,4.85,36.0,7.4,3,15.0,16700,9,2,2016,6,0,2,300,2,289.0,2.6,129.0,6.1,11,12.0,29700,7,4,2016,2,20,1,200,1,512.0,14.35,30.0,5.0,14,12.0,38200,4,8,2016,0,3,1,205,8,405.0,35.5,12.0,5.3,2,40.0,35400
130,3,1,1,6,2012,0,3,1,331,18,318.75,25.3,23.0,10.5,3,19.0,30000,9,1,2016,1,5,1,100,8,347.0,9.81,114.0,7.0,10,9.0,59600,7,8,2015,0,5,1,200,1,563.0,7.49,23.0,9.3,14,19.0,79300,3,6,2016,5,0,2,547,4,468.0,22.11,36.0,10.1,7,11.0,72200
130,4,1,1,6,2012,0,7,1,487,28,531.25,6.02,29.0,6.5,4,15.0,30000,7,12,2014,0,15,1,200,1,323.0,26.09,22.0,5.9,13,27.0,62500,3,6,2012,0,20,1,958,2,531.0,10.47,57.0,10.1,6,12.0,37300,1,13,2009,0,3,1,394,3,504.0,11.64,15.0,12.7,4,99.0,13000
130,5,1,1,6,2012,0,3,1,336,22,318.75,29.1,20.0,6.5,4,16.0,26800,9,5,2012,0,10,1,80,1,704.0,9.02,93.0,7.3,9,9.0,63400,7,1,2015,0,10,1,250,4,319.0,18.52,31.0,7.5,16,6.0,28900,3,6,2012,0,20,1,623,4,383.0,14.56,41.0,10.1,6,14.0,41800
130,6,4,1,6,2012,0,7,1,288,22,382.5,29.1,20.0,10.5,3,15.0,20000,5,11,2012,0,3,1,383,1,594.0,27.44,17.0,5.4,1,14.0,37800,3,9,2012,0,10,1,689,4,437.0,8.23,29.0,8.9,5,16.0,75300,1,6,2014,0,3,1,510,23,383.0,20.07,29.0,6.5,2,20.0,34600
130,7,3,1,6,2012,0,5,1,487,18,531.25,20.07,29.0,10.5,2,16.0,23300,7,4,2014,0,15,1,200,1,419.0,22.08,26.0,9.0,14,9.0,58800,4,2,2014,0,3,1,243,4,319.0,7.52,17.0,10.5,2,18.0,27400,1,12,2010,0,5,1,468,7,387.0,22.38,26.0,9.9,4,44.0,17500
130,8,1,1,6,2012,0,5,1,418,28,382.5,6.02,29.0,10.5,3,19.0,30000,1,8,2016,0,7,1,259,55,405.0,10.91,16.0,9.3,2,38.0,49000,8,6,2016,7,10,1,300,1,319.0,6.89,25.0,11.4,14,11.0,69000,5,9,2015,0,3,1,540,4,437.0,9.46,24.0,5.3,4,21.0,92300
130,1,1,1,6,2012,0,5,1,418,18,467.5,10.03,29.0,6.5,2,16.0,23300,6,6,2016,0,3,1,651,1,300.0,5.5,37.0,11.4,4,12.0,74900,4,5,2016,0,5,1,380,2,639.0,9.26,23.0,3.5,3,10.0,70700,2,9,2014,0,5,1,473,8,506.0,16.17,18.0,10.0,3,14.0,58000
130,2,1,1,6,2012,0,10,1,486,32,318.75,13.64,32.0,10.5,3,20.0,23300,1,6,2015,0,7,1,346,35,319.0,18.19,24.0,10.5,1,19.0,33200,6,4,2016,0,3,1,713,1,396.0,10.6,44.0,5.7,2,13.0,72100,4,9,2014,0,7,1,333,21,534.0,9.13,14.0,5.3,3,16.0,56600
132,1,3,1,10,2014,0,3,1,270,15,517.0,11.64,15.0,9.9,3,13.0,24000,3,4,2014,0,0,3,970,1,581.0,16.24,49.0,4.6,7,12.0,71000,1,10,2016,0,3,1,399,9,423.0,9.19,19.0,9.9,3,17.0,42700,2,9,2016,0,3,1,440,6,575.0,10.91,16.0,6.0,2,14.0,103500
132,2,1,1,10,2014,0,3,1,342,18,423.0,24.25,18.0,5.9,1,13.0,24000,1,13,2014,0,7,1,333,4,504.0,31.18,14.0,12.7,4,134.0,32800,2,1,2011,0,3,1,347,2,506.0,12.47,35.0,8.5,3,8.0,19700,7,10,2016,7,5,1,300,2,588.0,17.94,24.0,5.9,14,10.0,41500
132,3,1,1,10,2014,0,7,1,506,18,423.0,12.65,23.0,5.9,2,17.0,36000,4,10,2012,0,3,1,352,4,423.0,13.31,16.0,9.9,3,17.0,26000,1,9,2014,0,3,1,428,5,606.0,15.32,19.0,9.3,3,17.0,69700,6,12,2016,0,7,1,684,4,446.0,8.18,38.0,10.7,4,28.0,83000
132,4,3,1,10,2014,0,3,1,330,15,352.5,19.4,15.0,9.9,3,16.0,36000,1,1,2011,0,3,1,218,124,383.0,13.23,22.0,7.5,1,10.0,12200,10,10,2014,0,20,1,250,2,517.0,73.41,41.0,9.5,13,10.0,71800,5,5,2014,0,3,1,456,2,781.0,11.82,32.0,3.5,3,12.0,54400
132,5,1,1,10,2014,0,10,1,378,18,517.0,16.17,18.0,9.9,2,17.0,32100,9,6,2016,4,0,3,300,1,285.0,2.99,112.0,10.1,10,10.0,80800,7,10,2014,0,10,1,250,1,353.0,10.13,17.0,9.9,13,10.0,36200,3,3,2014,0,20,1,725,4,473.0,17.3,46.0,5.1,8,11.0,32800
132,6,1,1,10,2014,0,3,1,324,18,352.5,16.17,18.0,5.9,3,13.0,24000,5,4,2016,0,3,1,473,4,581.0,15.14,25.0,9.0,1,15.0,69500,3,1,2013,0,10,1,690,2,319.0,6.03,66.0,11.0,6,10.0,27700,1,10,2016,0,3,1,483,12,423.0,12.65,23.0,9.9,1,13.0,31900
132,7,1,1,10,2014,0,10,1,270,15,517.0,38.8,15.0,9.9,2,13.0,24000,5,13,2016,0,3,1,683,1,700.0,17.94,26.0,8.7,1,105.0,66600,3,6,2016,7,0,2,605,2,319.0,16.58,36.0,10.1,5,11.0,72400,1,10,2016,0,3,1,483,14,353.0,25.3,23.0,9.9,4,17.0,47900
132,8,1,1,10,2014,0,5,1,494,18,587.5,6.72,26.0,5.9,4,13.0,36000,5,4,2016,0,5,1,832,2,581.0,5.41,42.0,9.0,4,20.0,59700,3,1,2013,0,15,1,799,4,383.0,9.05,66.0,11.0,6,10.0,31000,1,10,2011,0,5,1,484,17,423.0,7.94,22.0,5.9,2,13.0,18300
133,1,2,1,8,2016,0,3,1,373,45,562.5,18.98,23.0,9.3,2,38.0,48000,2,8,2013,0,7,1,574,1,538.0,15.05,29.0,6.0,2,34.0,35400,7,12,2016,10,15,1,300,2,538.0,18.72,23.0,5.9,14,27.0,48500,4,3,2016,0,3,1,378,25,323.0,4.56,28.0,5.5,1,15.0,23600
133,2,4,1,8,2016,0,5,1,302,35,405.0,18.19,16.0,5.3,3,40.0,37200,3,13,2016,0,5,1,990,1,616.0,11.06,36.0,12.1,8,78.0,37800,1,8,2016,0,3,1,376,55,563.0,15.32,19.0,5.3,3,31.0,32000,2,9,2013,0,5,1,473,9,506.0,16.17,18.0,6.0,4,18.0,44500
133,3,1,1,8,2016,0,3,1,393,45,405.0,18.98,23.0,5.3,1,40.0,32000,1,12,2014,0,7,1,352,8,387.0,27.28,16.0,5.9,2,43.0,31300,9,8,2016,5,0,2,300,2,365.0,18.03,62.0,4.9,11,27.0,65100,7,9,2016,1,15,1,250,1,606.0,15.65,11.0,9.3,13,12.0,78700
